ID,DateTime,Description,PositionNoLeap,Latitude,Longitude
221,2020-04-06 18:28:43,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",326264,47.30694464169432,8.117186924427408
324,2020-04-06 18:28:43,Keine Linienleitertelegramme empfangen,326264,47.30694464169432,8.117186924427408
222,2020-04-06 19:25:27,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",326264,47.30694464169432,8.117186924427408
325,2020-04-06 19:25:27,Keine Linienleitertelegramme empfangen,326264,47.30694464169432,8.117186924427408
223,2020-04-06 21:01:52,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",326264,47.30694464169432,8.117186924427408
326,2020-04-06 21:01:52,Keine Linienleitertelegramme empfangen,326264,47.30694464169432,8.117186924427408
224,2020-04-06 21:01:52,Stoerung: Zwangsbremse wurde aktiviert,326264,47.30694464169432,8.117186924427408
327,2020-04-06 21:01:52,Zwangsbremse wurde aktiviert,326264,47.30694464169432,8.117186924427408
228,2020-04-07 08:32:35,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",199884,47.39092301694605,8.052820589465014
331,2020-04-07 08:32:35,Keine Linienleitertelegramme empfangen,199884,47.39092301694605,8.052820589465014
229,2020-04-07 13:49:05,Stoerung: Position unverifiziert (Eichung falsch),199884,47.39092301694605,8.052820589465014
332,2020-04-07 13:49:05,Position unverifiziert (Eichung falsch),199884,47.39092301694605,8.052820589465014
230,2020-04-07 13:49:05,Stoerung: ZSI0 Modus (Position unbekannt),199884,47.39092301694605,8.052820589465014
333,2020-04-07 13:49:05,Position unbekannt (ZSI0),199884,47.39092301694605,8.052820589465014
231,2020-04-07 19:03:07,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",199884,47.39092301694605,8.052820589465014
334,2020-04-07 19:03:07,Keine Linienleitertelegramme empfangen,199884,47.39092301694605,8.052820589465014
242,2020-04-10 09:03:31,Stoerung: Position unverifiziert (Eichung falsch),322710,47.30983628487712,8.11527219254826
345,2020-04-10 09:03:31,Position unverifiziert (Eichung falsch),322710,47.30983628487712,8.11527219254826
243,2020-04-10 09:03:31,Stoerung: ZSI0 Modus (Position unbekannt),322710,47.30983628487712,8.11527219254826
346,2020-04-10 09:03:31,Position unbekannt (ZSI0),322710,47.30983628487712,8.11527219254826
244,2020-04-10 21:31:40,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",322710,47.30983628487712,8.11527219254826
347,2020-04-10 21:31:40,Keine Linienleitertelegramme empfangen,322710,47.30983628487712,8.11527219254826
245,2020-04-10 21:31:40,Stoerung: Zwangsbremse wurde aktiviert,322710,47.30983628487712,8.11527219254826
348,2020-04-10 21:31:40,Zwangsbremse wurde aktiviert,322710,47.30983628487712,8.11527219254826
253,2020-04-12 20:32:01,"Stoerung: Linienleitertelegramme wurden erwartet, jedoch auf beiden Antennen keine empfangen.",427536,47.24073493366692,8.189420943728727
356,2020-04-12 20:32:01,Keine Linienleitertelegramme empfangen,427536,47.24073493366692,8.189420943728727
254,2020-04-12 20:32:01,Stoerung: Zwangsbremse wurde aktiviert,427536,47.24073493366692,8.189420943728727
357,2020-04-12 20:32:01,Zwangsbremse wurde aktiviert,427536,47.24073493366692,8.189420943728727
